버스번호,노선고유ID/종점번호,
1,233000048,20
10,233000064,16
10,241485018,41
100,241491010,17
1000,233000077,109
1001,233000134,81
1002,233000140,48
1004,233000004,68
1004-1,233000067,52
1008,233000125,51
10-1,241485019,25
10-2,241485017,34
10-3,241485020,20
10-4,241485021,27
10-5,241485022,23
10-6,241485015,25
10-7,241485016,21
10-8,241485052,39
11,233000041,19
1-1,23300051,21
11-1,241485050,56
11-2,233000060,39
11-2,241323002,24
11-4,233000062,19
11-5,233000059,21
116-2,234001570,50
116-3,233000133,80
116-5,233000276,48
12,241323004,40
12,241485006,18
12-1,241485048,43
13,241323005,29
13-1,241485041,29
13-2,241485040,45
13-3,241485039,25
13-4,241485042,45
13-4A,241485049,45
13-5,241485053,24
13-6,241485054,21
13-7,241485051,24
14,233000024,12
15,233000022,16
150,233000253,55
16,233000034,8
17,233000044,16
17,241324001,29
17-1,241324005,23
18,233000036,18
19,233000026,13
19,241317002,30
19-1,241317004,35
19-2,241317006,35
19-3,241317008,29
